ticker,name,underlying_asset,underlying_ticker,leverage,direction
MEXX,Direxion Daily MSCI Mexico Bull 3X Shares,MSCI Mexico IMI 25-50,,3x,long
MIDU,Direxion Daily Mid Cap Bull 3X Shares,S&P Mid Cap 400,,3x,long
MIDZ,Direxion Daily Mid Cap Bear 3X Shares,,,3x,short
MLPR,ETRACS Quarterly Pay 1.5x Leveraged Alerian MLP Index ETN,Alerian MLP Index,,1.5x,long
MLPZ,UBS ETRACS 2xMonthly Leveraged S&P MLP Index ETN Series B,,,2x,long
MPG,Leverage Shares 2X Long MP Daily ETF,MP Materials Corp,MP,2x,long
MPL,Defiance Daily Target 2X Long MP ETF,MP Materials,MP,2x,long
MQQQ,Tradr 2X Long Innovation 100 Monthly ETF,Invesco QQQ Trust,QQQ,2x,long
MRAL,GraniteShares 2x Long MARA Daily ETF,MARA Holdings Inc.,MARA,2x,long
MRNX,Defiance Daily Target 2X Long MRNA ETF,"Moderna, Inc.",MRNA,2x,long
MRRL,UBS ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN Series B,,,2x,long
MSDD,GraniteShares 2x Short MSTR ETF,MicroStrategy Inc,,2x,short
MSFD,Direxion Daily MSFT Bear 1X Shares,Microsoft Corp,MSFT,1x,short
MSFL,GraniteShares 2x Long Microsoft ETF,Microsoft Corp,MSFT,2x,long
MSFU,Direxion Daily MSCI Consumer Discretionary Bull 2x Fund,Microsoft Corporation,,2x,long
MSFW,MSFT WeeklyPayâ¢ ETF,Microsoft Corp,MSFT,1.2x,long
MSFX,T-REX 2X Long Microsoft Daily Target ETF,Microsoft Corp.,MSFT,2x,long
MSOO,Leverage Shares 2x Capped Accelerated MSTR Monthly ETF,,,2x,
MSOX,AdvisorShares MSOS Daily Leveraged ETF,,,2x,
MST,Defiance Leveraged Long + Income MSTR ETF,MicroStrategy,MSTR,1.5x,long
MSTP,GraniteShares 2x Long Master ETF,MicroStrategy Inc,,2x,long
MSTU,T-REX 2X Long MSTR Daily Target ETF,MicroStrategy Inc,MSTR,2x,long
MSTW,Roundhill MSTR WeeklyPay ETF,MicroStrategy,,1.2x,long
MSTX,Daily Target 2X Long MSTR ETF,MicroStrategy,MSTR,2x,long
MSTZ,T-REX 2X Inverse MSTR Daily Target ETF,MicroStrategy Inc,MSTR,2x,short
MTUL,ETRACS 2x Leveraged MSCI US Momentum Factor TR ETN,MSCI USA Momentum GR USD Index,,2x,long
MTYY,GraniteShares YieldBOOST MSTR ETF,MicroStrategy Inc,MSTR,variable,long
MUD,Dx Daily Mu Bear 1X Shares,"Micron Technology, Inc. - Benchmark Price Return",,1x,short
MULL,GraniteShares 2x Long MU Daily ETF,Micron Technology Inc.,MU,2x,long
MUTE,Direxion Daily Communication Services Index Bear 3X Shares,,,3x,short
MUU,Dx Daily Muni Bond Bull 2x Shares,"Micron Technology, Inc.",,2x,long
MVLL,GraniteShares 2x Long MRVL Daily ETF,Marvell Technology Inc.,MRVL,2x,long
MVPL,Miller Value Partners Leverage ETF,,,2x,
MVRL,ETRACS Monthly Pay 1.5x Leveraged Mortgage REIT ETN,MVIS US Mortgage REITs Index,MVMORT,1.5x,long
MVV,ProShares Ultra MidCap400,S&P MidCap 400,MID,2x,long
MYY,ProShares Short MidCap400,S&P MidCap 400,MID,1x,short
MZZ,ProShares UltraShort MidCap400,S&P MidCap 400,MID,2x,short
NAIL,Direxion Daily Homebuilders & Supplies Bull 3X Shares,DJ US Select / Home Construction,,3x,long
NBIG,Leverage Shares 2X Long NBIS Daily ETF,Nebius Group N.V,NBIS,2x,long
NBIL,GraniteShares 2x Long NBIS Daily ETF,Nebius Group N.V,NBIS,2x,long
NBIZ,Tradr 2X Short NBIS Daily ETF,Nebius Group N.V,NBIS,2x,short
NBOS,Neuberger Berman Option Strategy ETF,,,,
NEBX,Tradr 2X Long NBIS Daily ETF,Nebius Group N.V,NBIS,2x,long
NEMG,Leverage Shares 2x Long NEM Daily ETF,Newmont Corporation,NEM,2x,long
NETG,Leverage Shares 2X Long NET Daily ETF,Netgear Inc.,NET,2x,long
NETX,Tradr 2X Long NET Daily ETF,"Cloudflare, Inc",NET,2x,long
NFLU,T-Rex 2x Long Netflix Daily ETF,Netflix Inc,NFLX,2x,long
NFLW,Roundhill NFLX Weekly Pay ETF,Netflix Inc,NFLX,1.2x,long
NFXL,Direxion Daily Netflix Bull 2X Shares,Netflix Inc,NFLX,2x,long
NFXS,Direxion Daily Netflix Bear 1X Shares,Netflix Inc,NFLX,1x,short
NIOG,Leverage Shares 2X Long NIO Daily ETF,Nio Inc,NIO,2x,long
NKEQ,AXS 2X NKE Bear Daily ETF,NIKE Inc,NKE,2x,short
NNEX,Tradr 2X Long NNE Daily ETF,NANO Nuclear Energy Inc,NNE,2x,long
NOWL,GraniteShares 2x Long NOW Daily ETF,ServiceNow Inc.,NOW,2x,long
NRGD,MicroSectors U.S. Big Oil -3 Inverse Leveraged ETN,Solactive MicroSectors U.S. Big Oil Index,,3x,short
NRGU,MicroSectors U.S. Big Oil 3 Leveraged ETN,Solactive MicroSectors U.S. Big Oil Index,,3x,
NTSE,WisdomTree Emerging Markets Efficient Core Fund,,,,
NTSI,WisdomTree International Efficient Core Fund,,,,
NTSX,WisdomTree U.S. Efficient Core Fund,U.S. equity securities and U.S. Treasury,,variable,long
NUG,Leverage Shares 2X Long NU Daily ETF,Nu Holdings Ltd,NU,2x,long
NUGT,Direxion Daily Gold Miners Index Bull 2X Shares,NYSE Arca Gold Miners Index,GDM,2x,long
NUGY,GraniteShares YieldBOOST Gold Miners ETF,Arca Gold Miners Index,GDM,variable,long
NVD,GraniteShares 2x Short Nvidia ETF USD,NVIDIA Corp,NVDA,2x,short
NVDB,ProShares Ultra NVDA,NVIDIA Corporation,NVDA,2x,long
NVDD,Direxion Daily NVDA Bear 1X Shares,NVIDIA Corp,NVDA,1x,short
NVDG,Leverage Shares 2X Long NVDA Daily ETF,,,2x,long
NVDL,GraniteShares 2x Long Nvidia Daily ETF,NVIDIA Corp,NVDA,2x,long
NVDO,Leverage Shares 2x Capped Accelerated NVDA Monthly ETF,,,2x,
NVDQ,T-REX 2X Inverse NVIDIA Daily Target ETF,NVIDIA Corp,NVDA,2x,short
NVDS,Tradr 1.5X Short NVDA Daily ETF,NVIDIA Corp,NVDA,1.5x,short
NVDU,Direxion Daily NVDA Bull 2X Shares,NVIDIA Corp,NVDA,2x,long
NVDW,NVDA WeeklyPay ETF,NVIDIA Corporation,NVDA,1.2x,long
NVDX,T-Rex 2x LNG NVIDIA Daily Target Fund,NVIDIA Corp,NVDA,2x,long
NVOX,Defiance Daily Target 2X Long NVO ETF,,NVO,2x,long
NVTX,Tradr 2X Long NVTS Daily ETF,Navitas Semiconductor Corp,NVTS,2x,long
NVYY,GraniteShares YieldBOOST NVDA ETF,NVIDIA Corp,NVDA,variable,long
NWMX,Tradr 2X Long NEM Daily ETF,Newmont Corp,NEM,2x,long
OILD,MicroSectors Oil & Gas Exploration & Production -3x Inverse Leveraged Exchange-Traded Note,WTI Crude Oil,CL,3x,short
OILU,Bank of Montreal MicroSectors Oil & Gas Exploration & Production 3X Leveraged ETNs,WTI Crude Oil,CL,3x,long
OKLL,Defiance Daily Target 2X Long OKLO ETF,,OKLO,2x,long
OKLS,Defiance Daily Target 2X Short OKLO ETF,Oklo Inc,OKLO,2x,short
OKTG,Leverage Shares 2X Long OKTA Daily ETF,"Okta, Inc.",OKTA,2x,long
OKTX,Tradr 2X Long OKTA Daily ETF,"Okta, Inc.",OKTA,2x,long
ONDG,Leverage Shares 2X Long ONDS Daily ETF,Ondas Holdings Inc,ONDS,2x,long
ONDL,Defiance Daily Target 2X Long ONDS ETF,Ondas Holdings Inc,ONDS,2x,long
ONDU,Tradr 2X Long ONDS Daily ETF,Ondas Holdings Inc,ONDS,2x,long
OOQB,One+Oneâ¢ Nasdaq-100 and Bitcoin ETF,Nasdaq-100 futures + Bitcoin futures,,2x,long
OOSB,One+Oneâ¢ S&P 500 and Bitcoin ETF,S&P 500 Index + Bitcoin,,2x,long
OPEG,Leverage Shares 2X Long OPEN Daily ETF,Opendoor Technologies Inc,OPEN,2x,long
OPEX,Tradr 2X Long OPEN Daily ETF,Opendoor Technologies Inc,OPEN,2x,long
ORCS,Direxion Daily ORCL Bear 1X ETF,Oracle Corporation,ORCL,1x,short
ORCU,Direxion Daily ORCL Bull 2X ETF,Oracle Corporation,ORCL,2x,long
ORCX,Defiance Daily Target 2X Long ORCL ETF,,ORCL,2x,long
ORLG,Leverage Shares 2X Long ORLY Daily ETF,"O'Reilly Automotive, Inc.",ORLY,2x,long
OSCG,Leverage Shares 2x Long OSCR Daily ETF,"Oscar Health, Inc.",OSCR,2x,long
OSCX,Defiance Daily Target 2x Long OSCR ETF,"Oscar Health, Inc.",OSCR,2x,long
PALD,Direxion Daily PANW Bear 1X Shares,"Palo Alto Networks, Inc.",,1x,short
PALU,Direxion Daily PANW Bull 2X Shares,"Palo Alto Networks, Inc.",,2x,long
PANG,Leverage Shares 2x Long PANW Daily ETF,Palo Alto Networks,PANW,2x,long
PASS,Direxion Daily Cnsmr Discret Bear 3XShrs,,,3x,short
PATX,Tradr 2X Long PATH Daily ETF,"UiPath, Inc",PATH,2x,long
PBRG,Leverage Shares 2X Long PBR Daily ETF,Petroleo Brasileiro SA (ADR),PBR,2x,long
PDDL,GraniteShares 2x Long PDD Daily ETF,PDD Holdings Inc.,PDD,2x,long
PFES,AXS 2X PFE Bear Daily ETF,,,2x,short
PFFL,ETRACS Monthly Pay 2xLeveraged Preferred Stock ETN,Solactive Preferred Stock ETF Index,SOLPRF,2x,long
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,S&P Pharmaceuticals Select Industry,,3x,long
PLOO,Leverage Shares 2x Capped Accelerated PLTR Monthly ETF,Palantir Technologies Inc.,PLTR,2x,long
PLT,Defiance Leveraged Long + Income PLTR ETF,Palantir Technologies,PLTR,1.5x,long
PLTA,ProShares Ultra PLTR,Palantir Technologies Inc,PLTR,2x,long
PLTD,Direxion Daily PLTR Bear 1X Shares,Palantir Technologies Inc.,PLTR,1x,short
PLTG,Leverage Shares 2x Long PLTR Daily ETF,Palantir Technologies Inc.,PLTR,2x,long
PLTU,Direxion Daily PLTR Bull 2X Shares,Palantir Technologies Inc,PLTR,2x,long
PLTW,PLTR WeeklyPay ETF,Palantir Technologies Inc.,PLTR,1.2x,long
PLTZ,Defiance Daily Target Short PLTR 2X ETF,Palantir Technologies Inc.,PLTR,2x,short
PLU,Defiance Daily Target 2x Long PL ETF,Planet Labs PBC,PL,2x,long
PLUL,Leverage Shares 2X Long PLUG Daily ETF,Plug Power Inc,PLUG,2x,long
PLYY,GraniteShares YieldBOOST PLTR ETF,Palantir Technologies Inc,PLTR,variable,long
PONX,Tradr 2X Long PONY Daily ETF,Pony AI Inc,PONY,2x,long
PPLC,PortfolioPlus S&P 500 ETF,S&P 500 Index,SPX,,long
PSQ,ProShares Short QQQ,Nasdaq-100 Index,QQQ,1x,short
PST,ProShares UltraShort 7-10 Year Treasury,ICE U.S. Treasury 7-10 Year Bond Index,IDCOT7TR,2x,short
PTIR,GraniteShares 2x Long Palantir Daily ETF,Palantir Technologies Inc.,PLTR,2x,long
PXIU,T-REX 2X Long UPXI Daily Target ETF,"Upexi, Inc",UPXI,2x,long
PYPG,Leverage Shares 2X Long PYPL Daily ETF,,,2x,long
PYPS,AXS 1.5X PYPL Bear Daily ETF,,,,short
QBER,TrueShares Quarterly Bear Hedge ETF,,,,short
QBTX,Tradr 2X Long QBTS Daily ETF,D-Wave Quantum Inc.,QBTS,2x,long
QBTZ,Defiance Daily Target 2X Short QBTS ETF,D-Wave Quantum Inc.,QBTS,2x,short
QBY,GraniteShares YieldBoost QBTS ETF,2x Long QBTS Daily ETF,,variable,long
QCMD,Direxion Daily QCOM Bear 1X ETF,,,1x,short
QCML,GraniteShares 2x Long QCOM Daily ETF,QUALCOMM Inc.,QCOM,2x,long
QCMU,Direxion Daily QCOM Bull 2X ETF,,,2x,long
QDWN,DailyDelta Q100 Downside Option Strategy ETF,,,,
QID,ProShares UltraShort QQQ,Nasdaq-100 Index,QQQ,2x,short
QLD,ProShares Ultra QQQ,Nasdaq-100 Index,QQQ,2x,long
QPUX,Defiance 2X Daily Long Pure Quantum ETF,"Quantum computing stocks (IONQ, RGTI, QBTS, QUBT)",,2x,long
QQDN,ProShares UltraShort Top QQQ,Nasdaq-100 Mega Index,NDXMEGA,2x,short
QQQD,Direxion Daily Magnificent 7 Bear 1X Shares,Indxx Magnificent 7 Index,,1x,short
QQQP,Tradr 2X Long Innovation 100 Quarterly ETF,Invesco QQQ Trust,QQQ,2x,long
QQQU,Direxion Daily Magnificent 7 Bull 2X Shares,Indxx Magnificent 7 Index,,2x,long
QQUP,ProShares Ultra Top QQQ,Nasdaq-100 Mega Index,NDXMEGA,2x,long
QQXL,ProShares Ultra QQQ Top 30,Nasdaq-100 Top 30 Index,NDX30P,2x,long
QSU,Defiance Daily Target 2X Long QS ETF,QuantumScape Corporation,QS,2x,long
QSX,Tradr 2X Long QS Daily ETF,QuantumScape Corp,QS,2x,long
QTAP,Innovator Growth Accelerated Plus ETF - April,,,3x,
QTJA,Innovator Growth Accelerated Plus ETF - January,,,3x,
QTJL,Innovator Growth Accelerated Plus ETF - July,,,3x,
QTOC,Innovator Growth Accelerated Plus ETF - October,,,3x,
QUBX,Tradr 2X Long QUBT Daily ETF,Quantum Computing Inc.,QUBT,2x,long
QULL,ETRACS 2x Leveraged MSCI US Quality Factor TR ETN,MSCI USA Sector Neutral Quality GR USD Index,M2USSNQ,2x,long
QXAS,Quantify 2X Daily Alt Season Crypto ETF,Multiple (Alt Coins),,2x,long
RAAA,Reckoner Leveraged AAA CLO ETF,,,2x,
RBLU,T-REX 2X Long RBLX Daily Target ETF,Roblox Corp,RBLX,2x,long
RCAX,Defiance Daily Target 2X Long RCAT ETF,Red Cat Holdings,RCAT,2x,long
RDTL,GraniteShares 2x Long RDDT Daily ETF,Reddit Inc.,RDDT,2x,long
RDWU,T-REX 2X Long RDW Daily Target ETF,Redwire Corporation,RDW,2x,long
REK,ProShares Short Real Estate,S&P Real Estate Select Sector Index,IXRE,1x,short
REKT,Direxion Daily Crypto Industry Bear 1X Shares,Solactive Distributed Ledger & Decentralized Payment Tech Index,,1x,short
RETL,Direxion Daily Retail Bull 3X Shares,S&P Retail Select Industry,,3x,long
REW,ProShares UltraShort Technology,S&P Technology Select Sector Index,IXT,2x,short
RGTU,Tradr 2X Long RGTI Daily ETF,Rigetti Computing Inc.,RGTI,2x,long
RGTX,Defiance Daily Target 2X Long RGTI ETF,,RGTI,2x,long
RGTZ,Defiance Daily Target 2x Short RGTI ETF,Rigetti Computing,RGTI,2x,long
RGYY,GraniteShares YieldBoost RGTI ETF,2x Long RGTI Daily ETF,,variable,long
RIOX,Defiance Daily Target 2X Long RIOT ETF,,RIOT,2x,long
RKLX,Defiance Daily Target 2X Long RKLB ETF,,RKLB,2x,long
RKLZ,Defiance Daily Target 2x Short RKLB ETF,Rocket Lab Corporation,RKLB,2x,short
RKTL,Defiance Daily Target 2X Long RKT ETF,"Rocket Companies, Inc",RKT,2x,long
ROBN,T-REX 2X Long HOOD Daily Target ETF,Robinhood Markets Inc.,HOOD,2x,long
ROM,ProShares Ultra Technology,S&P Technology Select Sector Index,IXT,2x,long
RSBA,Return Stacked Bonds & Merger Arbitrage ETF,,,2x,
RSBT,Return Stacked Bonds & Managed Futures ETF,,,2x,
RSBY,Return Stacked Bonds & Futures Yield ETF,,,2x,
RSSB,Return Stacked Global Stocks & Bonds ETF,,,2x,
RSST,Return Stacked U.S. Stocks & Managed Futures ETF,,,2x,
RSSX,Return Stacked U.S. Stocks & Bonds ETF,,,2x,long
RSSY,Return Stacked U.S. Stocks & Futures Yield ETF,,,2x,
RTXG,Leverage Shares 2x Long RTX Daily ETF,RTX Corporation,RTX,2x,long
RTYY,GraniteShares YieldBoost RIOT ETF,"Riot Platforms, Inc.",RIOT,variable,long
RUSL,Direxion Daily Russia Bull 3X Shares,,,3x,long
RUSS,Direxion Daily Russia Bear 3X Shares,,,3x,short
RVNL,GraniteShares 2x Long RIVN Daily ETF,Rivian Automotive Inc.,RIVN,2x,long
RWM,ProShares Short Russell2000,Russell 2000 Index,RTY,1x,short
RXD,ProShares UltraShort Health Care,S&P Health Care Select Sector Index,IXV,2x,short
RXL,ProShares Ultra Health Care,S&P Health Care Select Sector Index,IXV,2x,long
SAA,ProShares Ultra SmallCap600,S&P SmallCap 600,SML,2x,long
SAGG,Direxion Daily Total Bond Market Bear 1X Shares,,,1x,short
SARK,Tuttle Capital Short Innovation ETF,,,,short
SATG,Leverage Shares 2X Long SATS Daily ETF,EcoStar Corporation,SATS,2x,long
SBB,ProShares Short SmallCap600,S&P SmallCap 600,SML,1x,short
SBIT,ProShares UltraShort Bitcoin ETF,Bloomberg Bitcoin Index,BITCOIN,2x,short
SBTU,T-REX 2X Long SBET Daily Target ETF,SharpLink Gaming,SBET,2x,long
SBU,Leverage Shares 2X Long SBUX Daily ETF,Starbucks Corporation,SBUX,2x,long
SCC,ProShares UltraShort Consumer Discretionary,S&P Consumer Discretionary Select Sector Index,IXY,2x,short
SCDL,ETRACS 2x Leveraged US Dividend Factor TR ETN,Dow Jones US Dividend 100 TR USD Index,DJUSDIVT,2x,long
SCO,ProShares UltraShort Bloomberg Crude Oil,Bloomberg Commodity Balanced WTI Crude Oil Index,BCBCLI,2x,short
SCOM,ProShares UltraPro Short Communication Services Select Sector,,,,short
SDD,ProShares UltraShort SmallCap600,S&P SmallCap 600,SML,2x,short
SDOW,ProShares UltraPro Short Dow30,Dow Jones Industrial Average,INDU,3x,short
SDP,ProShares UltraShort Utilities,S&P Utilities Select Sector Index,IXU,2x,short
SDS,ProShares UltraShort S&P500,S&P 500Â®,SPX,2x,short
SDYL,UBS ETRACS Monthly Pay 2xLeveraged S&P Dividend ETN,,,2x,long
SEF,ProShares Short Financials,S&P Financial Select Sector Index,IXM,1x,short
SEMY,GraniteShares YieldBOOST Semiconductor ETF,ICESEMI Index,,variable,long
SETH,ProShares Short Ether ETF,Bloomberg Ethereum Index,ETHEREUM,1x,short
SH,ProShares Short S&P500,S&P 500Â®,SPX,1x,short
SHNY,MicroSectors Gold 3X Leveraged ETNs,Gold,XAUUSD,3x,long
SHPD,Direxion Daily SHOP Bear 1X ETF,"Shopify, Inc",,1x,short
SHPU,Direxion Daily SHOP Bull 2X ETF,"Shopify, Inc",,2x,long
SHRT,Gotham Short Strategies ETF,,,,short
SIJ,ProShares UltraShort Industrials,S&P Industrials Select Sector Index,IXI,2x,short
SJB,ProShares Short High Yield,Markit iBoxx $ Liquid High Yield Index,IBOXHY,1x,short
SKF,ProShares UltraShort Financials,S&P Financial Select Sector Index,IXM,2x,short
SKRE,Tuttle Capital Daily 2X Inverse ETF,S&P Regional Banks Select Industry,,2x,short
SKYU,ProShares Ultra Nasdaq Cloud Computing,ISE CTA Cloud Computing Index,CPQ,2x,long
SLON,ProShares Ultra Solana ETF,Bloomberg Solana Index,SOL,2x,long
SLTY,YieldMax Ultra Short Option Income Strategy ETF,,,,short
SMCC,Defiance Leveraged Long + Income SMCI ETF,,SMCI,1.5x,long
SMCL,GraniteShares 2x Long SMCI Daily ETF,Super Micro Computer Inc.,SMCI,2x,long
SMCX,Defiance Daily Target 2X Long SMCI ETF,"Super Micro Computer, Inc.",SMCI,2x,long
SMCZ,Defiance Daily Target 2X Short SMCI ETF,,SMCI,2x,short
SMDD,ProShares UltraPro Short MidCap400,S&P MidCap 400,MID,3x,short
SMHB,ETRACS Monthly Pay 2xLeveraged US Small Cap High Dividend ETN Series B,Solactive US Small Cap High Dividend Index,SOLSMHD,2x,long
SMN,ProShares UltraShort Materials,S&P Materials Select Sector Index,IXB,2x,short
SMQ,Tradr 1X Short Innovation 100 Monthly ETF,Invesco QQQ Trust,QQQ,1x,short
SMST,Defiance Daily Target 2X Short MSTR ETF,,MSTR,2x,short
SMU,Tradr 2X Long SMR Daily ETF,Nuscale Power Corp.,SMR,2x,long
SMUP,T-REX 2X Long SMR Daily Target ETF,NuScale Power Corporation,,2x,long
SMYY,GraniteShares YieldBOOST SMCI ETF,"Super Micro Computer, Inc.",SMCI,variable,long
SNAG,Leverage Shares 2x Long SNAP Daily ETF,Snap Inc,SNAP,2x,long
SNOU,T-REX 2X Long SNOW Daily Target ETF,Snowflake Inc,SNOW,2x,long
SNPX,Tradr 2X Long SNPS Daily ETF,"Synopsys, Inc.",SNPS,2x,long
SNXX,Tradr 2X Long SNDK Daily ETF,Sandisk Corp,SNDK,2x,long
SOFL,2x Daily Software Platform ETF,,,2x,
SOFX,Defiance Daily Target 2X Long SOFI ETF,"SoFi Technologies, Inc.",SOFI,2x,long
SOGU,The Short De-SPAC ETF,,,,short
SOLT,Volatility Shares 2x Solana ETF,Solana futures,,2x,long
SOLX,T-REX 2X Long SOL Daily Target ETF,Solana (SOL/USD) - Benchmark Price Return,SOL,2x,long
SOLZ,Volatility Shares Solana ETF,Solana futures,,1x,long
SOUX,Defiance Daily Target 2X Long SOUN ETF,,SOUN,2x,long
SOXL,Direxion Daily Semiconductor Bull 3X Shares,NYSE Semiconductor Index,,3x,long
SOXS,Direxion Daily Semiconductor Bear 3X Shares,NYSE Semiconductor Index,,3x,short
SPCY,STKd 100% SMCI & 100% NVDA ETF,,,2x,
SPDN,Direxion Daily S&P 500 Bear 1X Shares,S&P 500 Index,SPX,1x,short
SPKX,ConvexityShares Trust - ConvexityShares 1x SPIKES Futures ETF,,,1x,
SPKY,ConvexityShares Trust - ConvexityShares Daily 1.5x SPIKES Futures ETF,,,,
SPOG,Leverage Shares 2X Long SPOT Daily ETF,Spotify Inc,SPOT,2x,long
SPUU,Direxion Daily S&P 500 Bull 2X Shares,S&P 500 Index,SPX,2x,long
SPXL,Direxion Daily S&P 500 Bull 3X Shares,S&P 500 Index,SPX,3x,long
SPXS,Direxion Daily S&P 500 Bear 3X Shares,S&P 500 Index,SPX,3x,short
SPXU,ProShares UltraPro Short S&P500,S&P 500Â®,SPX,3x,short
SPYQ,Tradr 2X Long SPY Quarterly ETF,SPDR S&P 500 ETF Trust,SPY,2x,long
SPYU,Max S&P 500 4X Leveraged Exchange-Traded Note,S&P 500 Index,SPX,4x,long
SQQQ,ProShares UltraPro Short QQQ,Nasdaq-100 Index,QQQ,3x,short
SRPU,Tradr 2X Long SRPT Daily ETF,"Sarepta Therapeutics, Inc",SRPT,2x,long
SRS,ProShares UltraShort Real Estate,S&P Real Estate Select Sector Index,IXRE,2x,short
SRTY,ProShares UltraPro Short Russell2000,Russell 2000 Index,RTY,3x,short
SSG,ProShares UltraShort Semiconductors,Dow Jones U.S. SemiconductorsSM Index,DJUSSC,2x,short
SSK,REX-Ospreyâ¢ SOL + Staking ETF,Solana,SOL,1x,long
SSO,ProShares Ultra S&P500,S&P 500Â®,SPX,2x,long
STSM,Defiance Daily Target 2X Short TSM ETF,Taiwan Semiconductor Manufacturing Co.,TSM,2x,short
SVIX,-1X Short VIX Futures ETF,Short VIX Futures Index,,1x,short
SVOL,Simplify Volatility Premium ETF,Cboe Volatility Index,VIX,variable,short
SWEB,AXS Short China Internet ETF,,,,short
SZK,ProShares UltraShort Consumer Staples,S&P Consumer Staples Select Sector Index,IXR,2x,short
TAIL,Cambria Tail Risk ETF,,,,
TARK,Tradr 2X Long Innovation ETF,ARK Innovation ETF,ARKK,2x,long
TBF,ProShares Short 20+ Year Treasury,ICE U.S. Treasury 20+ Year Bond Index,IDCOT20T,1x,short
TBT,ProShares UltraShort 20+ Year Treasury,ICE U.S. Treasury 20+ Year Bond Index,IDCOT20T,2x,short
TBX,ProShares Short 7-10 Year Treasury,ICE U.S. Treasury 7-10 Year Bond Index,IDCOT7TR,1x,short
TBXU,Direxion Daily Biotech Top 5 Bull 2X ETF,NYSE Biotechnology Top 5 Equal Weight Index,,2x,long
TDAX,TDAQ Lift ETF,TappAlpha Innovation 100 GRowth & Daily Income ETF,TDAQ,1.3x,long
TECL,Direxion Daily Technology Bull 3x Shares,S&P Technology Select Sector,,3x,long
TECS,Direxion Daily Technology Bear 3X Shares,S&P Technology Select Sector,,3x,short
TEMT,Tradr 2X Long TEM Daily ETF,Tempus AI Inc.,TEM,2x,long
TERG,Leverage Shares 2X Long TER Daily ETF,"Teradyne, Inc.",TER,2x,long
TEXU,Direxion Daily Energy Top 5 Bull 2X ETF,S&P 500 Energy (Sector) Top 5 Equal Capped Index,,2x,long
TIPD,Northern Trust TIPS Index Fund,,,,
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares,ICE U.S. Treasury 20+ Year Bond Index,TYX,3x,long
TMV,Direxion Daily 20+ Year Treasury Bear 3X Shares,ICE U.S. Treasury 20+ Year Bond Index,TYX,3x,short
TNA,Direxion Daily Small Cap Bull 3X Shares,Russell 2000,,3x,long
TPOR,Direxion Daily Transportation Bull 3X Shares,S&P Transportation Select Industry FMC Capped Index,,3x,long
TQQQ,ProShares UltraPro QQQ,Nasdaq-100 Index,QQQ,3x,long
TQQY,GraniteShares YieldBOOST QQQ ETF,Invesco QQQ Trust (Nasdaq-100 exposure),QQQ,variable,long
TSDD,GraniteShares 2x Short Tesla Daily ETF,Tesla Inc,TSLA,2x,short
TSL,GraniteShares 1.25x Long TSLA ETF,Tesla Inc,TSLA,1.25x,long
TSLG,Leverage Shares 2X Long TSLA Daily ETF,,,2x,long
TSLI,ProShares Ultra TSLA,Tesla Inc,TSLA,2x,long
TSLL,Direxion Daily TSLA Bull 2X Shares,Tesla Inc,TSLA,2x,long
TSLO,Leverage Shares 2x Capped Accelerated TSLA Monthly ETF,,,2x,
TSLQ,Tradr 2x Short Tesla Daily ETF,Tesla Inc,TSLA,2x,short
TSLR,GraniteShares 1.25x Long Tesla Daily ETF,Tesla Inc,TSLA,1.25x,long
TSLS,Direxion Daily TSLA Bear 1X Shares,Tesla Inc,TSLA,1x,short
TSLT,T-Rex 2X Long Tesla Daily Target,Tesla Inc,TSLA,2x,long
TSLW,Roundhill TSLA WeeklyPay ETF,"Tesla, Inc.",TSLA,1.2x,long
TSLZ,T-Rex 2X Inverse Tesla Daily Fund,Tesla Inc,TSLA,2x,short
TSMG,Leverage Shares 2X Long TSM Daily ETF,,,2x,long
TSMU,GraniteShares 2x Long TSM Daily ETF,Taiwan Semiconductor Manufacturing Co.,T,2x,long
TSMX,Direxion Daily Taiwan Semiconductor Bull 2X Shares,Taiwan Semiconductor,,2x,long
TSMZ,Direxion Daily TSM Bear 1X Shares,Taiwan Semiconductor,T,1x,short
TSXD,Direxion Daily Semiconductors Top 5 Bear 2X ETF,NYSE Semiconductor Top 5 Equal Weight Index,,2x,short
TSXU,Direxion Daily Semiconductors Top 5 Bull 2X ETF,NYSE Semiconductor Top 5 Equal Weight Index,,2x,long
TSYW,Roundhill Treasury Bond WeeklyPay ETF,,,1.2x,long
TSYX,TSPY Lift ETF,TappAlpha SPY Growth & Daily Income ETF,TSPY,1.3x,long
TSYY,GraniteShares YieldBOOST TSLA ETF,Tesla Inc.,TSLA,variable,long
TTDU,T-REX 2X Long TTD Daily Target ETF,"Trade Desk, Inc",TTD,2x,long
TTT,ProShares UltraPro Short 20+ Year Treasury,ICE U.S. Treasury 20+ Year Bond Index,IDCOT20T,3x,short
TTXD,Direxion Daily Technology Top 5 Bear 2X ETF,S&P 500 Information Technology (Sector) Top 5 Equal Capped Index,,2x,short
TTXU,Direxion Daily Technology Top 5 Bull 2X ETF,S&P 500 Information Technology (Sector) Top 5 Equal Capped Index,,2x,long
TWM,ProShares UltraShort Russell2000,Russell 2000 Index,RTY,2x,short
