ticker,name,underlying_asset,underlying_ticker,leverage,direction
CHAU,Direxion Daily CSI 300 China A Share Bull 2X Shares,China Shenzhen SE / CSI 300 Index,,2x,long
CIFG,Leverage Shares 2X Long CIFR Daily ETF,Cipher Mining Inc,CIFR,2x,long
CIFU,T-REX 2X Long CIFR Daily Target ETF,Cipher Mining Inc,CIFR,2x,long
CLDS,Direxion Daily Cloud Computing Bear 2X Shares,,,2x,short
CLSX,Tradr 2X Long CLSK Daily ETF,"CleanSpark, Inc",CLSK,2x,long
CMGG,Leverage Shares 2X Long CMG Daily ETF,"Chipotle Mexican Grill, Inc.",CMG,2x,long
CNCG,Leverage Shares 2X Long CNC Daily ETF,Centene Corporation,CNC,2x,long
COIA,ProShares Ultra COIN,"Coinbase Global, Inc",COIN,2x,long
COIG,Leverage Shares 2X Long COIN Daily ETF,"Coinbase Global, Inc.",COIN,2x,long
COIO,Leverage Shares 2x Capped Accelerated COIN Monthly ETF,"Coinbase Global, Inc.",COIN,2x,long
COIW,COIN WeeklyPay ETF,Coinbase,COIN,1.2x,long
CONI,GraniteShares 2x Short COIN Daily ETF,Coinbase Global Inc.,COIN,2x,short
CONL,GraniteShares 2x Long Coin ETF,Coinbase Global Inc,,2x,long
CONX,Direxion Daily COIN Bull 2X ETF,Coinbase Global Inc,COIN,2x,long
CORD,T-REX 2X Inverse CRWV Daily Target ETF,"CoreWeave, Inc",CRWV,2x,short
CORX,2x Corn ETF,Corn futures,,2x,long
COSW,Roundhill COST WeeklyPay ETF,Costco Wholesale,COST,1.2x,long
COTG,Leverage Shares 2X Long COST Daily ETF,Costco Wholesale,COST,2x,long
COYY,GraniteShares YieldBOOST COIN ETF,"Coinbase Global, Inc",COIN,variable,long
COZX,Tradr 2X Long CORZ Daily ETF,"Core Scientific, Inc",CORZ,2x,long
CPXR,USCF Daily Target 2X Copper Index ETF,Copper,,2x,long
CRCA,ProShares Ultra CRCL,"Circle Internet Group, Inc.",CRCL,2x,long
CRCD,T-REX 2X Inverse CRCL Daily Target ETF,"Circle Internet Group, Inc.",CRCL,2x,short
CRCG,Leverage Shares 2x Long CRCL Daily ETF,"Circle Internet Group, Inc.",CRCL,2x,long
CRDU,Tradr 2X Long CRDO Daily ETF,Credo Technology Group Holding,CRDO,2x,long
CRMG,Leverage Shares 2x Long CRM Daily ETF,Salesforce,CRM,2x,long
CRMX,Tradr 2X Long CRML Daily ETF,Critical Metals Corp,CRML,2x,long
CRSH,YieldMax Short TSLA Option Income Strategy ETF,Tesla Inc,TSLA,variable,short
CRWG,Leverage Shares 2x Long CRWV Daily ETF,CoreWeave,CRWV,2x,long
CRWL,GraniteShares 2x Long CRWD Daily ETF,CrowdStrike Holdings Inc.,CRWD,2x,long
CRWU,T-REX 2X Long CRWV Daily Target ETF,"CoreWeave, Inc",,2x,long
CSCL,Direxion Daily CSCO Bull 2X ETF,,,2x,long
CSCS,Direxion Daily CSCO Bear 1X ETF,"Cisco Systems, Inc.",,1x,short
CSEX,Tradr 2X Long CLS Daily ETF,"Celestica, Inc",CLS,2x,long
CURE,Direxion Daily Healthcare Bull 3X Shares,S&P Health Care Select Sector,,3x,long
CVNX,Defiance Daily Target 2X Long CVNA ETF,,CVNA,2x,long
CWEB,Direxion Daily CSI China Internet Index Bull 2X Shares,CSI Overseas China Internet,,2x,long
CWVX,Tradr 2X Long CRWV Daily ETF,"CoreWeave, Inc.",CRWV,2x,long
CXRN,Teucrium 2x Daily Corn ETF,,,2x,long
